Datetime,Open,High,Low,Close,Volume
2023-09-01 13:00:00,1.08641,1.08651,1.08641,1.08643,1.0
2023-09-01 13:00:01,1.08649,1.08655,1.08649,1.08651,1.0
2023-09-01 13:00:02,1.08643,1.08649,1.08638,1.08642,1.0
2023-09-01 13:00:03,1.08636,1.0864,1.08635,1.08638,1.0
2023-09-01 13:00:04,1.08634,1.08636,1.08625,1.08625,5.0
2023-09-01 13:00:05,1.08625,1.08629,1.08625,1.08625,1.0
2023-09-01 13:00:06,1.08626,1.08629,1.08622,1.08626,1.0
2023-09-01 13:00:07,1.0862,1.08624,1.0862,1.08621,1.0
2023-09-01 13:00:08,1.08621,1.08625,1.08621,1.08621,1.0
2023-09-01 13:00:09,1.08625,1.0863,1.08621,1.08626,5.0
2023-09-01 13:00:10,1.08627,1.08633,1.08627,1.08629,1.0
2023-09-01 13:00:11,1.08627,1.0863,1.08626,1.08627,6.0
2023-09-01 13:00:12,1.08627,1.08633,1.08627,1.0863,0.0
2023-09-01 13:00:13,1.0863,1.08634,1.0863,1.0863,5.0
2023-09-01 13:00:14,1.0863,1.08634,1.0863,1.0863,2.0
2023-09-01 13:00:15,1.0863,1.08633,1.08628,1.08628,2.0
2023-09-01 13:00:16,1.08628,1.0863,1.08625,1.08625,6.0
2023-09-01 13:00:17,1.08624,1.08629,1.08623,1.08624,4.0
2023-09-01 13:00:18,1.08619,1.08624,1.08614,1.08618,12.0
2023-09-01 13:00:19,1.08613,1.08618,1.08612,1.08614,5.0
2023-09-01 13:00:20,1.08614,1.08622,1.08612,1.08619,5.0
2023-09-01 13:00:21,1.08621,1.08629,1.08621,1.08621,1.0
2023-09-01 13:00:22,1.08625,1.0863,1.08623,1.08626,2.0
2023-09-01 13:00:23,1.08624,1.08627,1.08622,1.08622,4.0
2023-09-01 13:00:24,1.08624,1.08632,1.08624,1.08629,5.0
2023-09-01 13:00:25,1.08633,1.08636,1.0863,1.08631,4.0
2023-09-01 13:00:26,1.08634,1.08638,1.08629,1.08631,5.0
2023-09-01 13:00:27,1.08628,1.08631,1.08626,1.08628,8.0
2023-09-01 13:00:28,1.08629,1.08633,1.08627,1.08629,5.0
2023-09-01 13:00:29,1.0863,1.08634,1.08626,1.0863,4.0
2023-09-01 13:00:30,1.08624,1.08629,1.08624,1.08625,4.0
2023-09-01 13:00:31,1.08624,1.08631,1.08624,1.08627,10.0
2023-09-01 13:00:32,1.08627,1.08629,1.08624,1.08624,5.0
2023-09-01 13:00:33,1.08626,1.08631,1.08626,1.08628,4.0
2023-09-01 13:00:34,1.08629,1.08632,1.08627,1.08629,4.0
2023-09-01 13:00:35,1.08626,1.08632,1.08624,1.08626,5.0
2023-09-01 13:00:36,1.08634,1.08636,1.0863,1.08632,5.0
2023-09-01 13:00:37,1.08635,1.08644,1.08634,1.08641,1.0
2023-09-01 13:00:38,1.08644,1.08647,1.08643,1.08646,1.0
2023-09-01 13:00:39,1.08646,1.08648,1.08645,1.08646,1.0
2023-09-01 13:00:40,1.08646,1.08649,1.08646,1.08646,1.0
2023-09-01 13:00:41,1.0865,1.08654,1.08649,1.08649,1.0
2023-09-01 13:00:42,1.08652,1.08655,1.08651,1.08651,1.0
